ID,floor,lift,district,street,community,area,toward,model,rent
rent0052,低楼层/9层,有,房山,长阳,半岛金街,62.00㎡,东,3房间1卫,5200
rent0053,低楼层/4层,无,昌平,东关,富泉花园,378.00㎡,南 北,4室3厅5卫,20000
rent0054,低楼层/3层,无,亦庄开发区,亦庄开发区其它,棠颂别墅,370.73㎡,东 南 西 北,6室3厅3卫,40000
rent0055,高楼层/6层,无,门头沟,大峪,黑山东街,54.60㎡,南,2室1厅1卫,3300
rent0056,中楼层/27层,有,丰台,岳各庄,大成时代公馆,93.00㎡,西南,1房间1卫,9000
rent0057,高楼层/3层,有,朝阳,百子湾,CBD国际高尔夫别墅,172.36㎡,南 北,3室1厅2卫,17000
rent0058,高楼层/2层,无,海淀,西山,天香颐北里,284.29㎡,东 西 北,2房间1卫,29000
rent0059,高楼层/6层,无,房山,良乡,行宫园三里,72.00㎡,南 西北,2室1厅1卫,2300
rent0060,低楼层/2层,无,通州,潞苑,运通花园,279.00㎡,南 北,6室2厅3卫,18000
rent0061,低楼层/17层,有,昌平,昌平其它,TBD云集中心,102.31㎡,南 北,3室1厅1卫,7900
rent0062,低楼层/16层,有,通州,九棵树(家乐福),龙湖蔚澜香醍,147.00㎡,南 西 北,3室2厅2卫,13000
rent0063,低楼层/9层,有,顺义,顺义其它,中国铁建顺鑫汇,66.00㎡,南 北,4房间2卫,4500
rent0064,高楼层/11层,有,海淀,中关村,世纪科贸大厦,203.00㎡,南,4室2厅2卫,30710
rent0065,高楼层/6层,有,大兴,瀛海,首开龙湖天琅,127.00㎡,南 北,6房间1卫,6000
rent0066,中楼层/18层,有,朝阳,亚运村,阳光广场,160.00㎡,南 北,3室1厅2卫,16000
rent0067,高楼层/6层,无,顺义,顺义城,石园西区,61.00㎡,南 北,2室1厅1卫,2500
rent0068,高楼层/7层,有,通州,临河里,金隅自由筑,79.00㎡,南,3房间1卫,3300
rent0069,高楼层/14层,有,顺义,顺义其它,鹭峯国际,90.00㎡,东北,3房间1卫,4300
rent0070,低楼层/5层,,房山,阎村,绿城百合公寓春云苑,103.59㎡,南 北,2室1厅1卫,4000
rent0071,低楼层/15层,有,朝阳,十里河,林达海渔广场,411.30㎡,东 南 北,1房间0卫,40000
rent0072,低楼层/2层,无,昌平,北七家,八仙别墅仙霞东里,214.00㎡,南 北,4室2厅3卫,10500
rent0073,中楼层/6层,无,大兴,西红门,同兴园,88.17㎡,南 北,3室1厅1卫,4500
rent0074,低楼层/2层,无,顺义,中央别墅区,嘉浩别墅,438.68㎡,东 南 西 北,6室3厅5卫,38000
rent0075,中楼层/6层,有,昌平,南邵,泰禾昌平拾景园,193.42㎡,南 北,4室2厅4卫,18000
rent0076,中楼层/11层,有,房山,长阳,半岛金街,77.93㎡,东南,3房间1卫,3800
rent0077,高楼层/6层,无,朝阳,双井,双井北里,55.36㎡,南 北,2室1厅1卫,7900
rent0078,高楼层/6层,无,丰台,洋桥,洋桥北里,41.00㎡,南 北,1室1厅1卫,4800
rent0079,低楼层/7层,有,昌平,东关,水晶屿,52.00㎡,西,2房间1卫,3400
rent0080,低楼层/3层,无,通州,马驹桥,天鹅堡,248.00㎡,南 北,3室2厅4卫,7500
rent0081,低楼层/20层,有,丰台,花乡,天伦锦城,88.90㎡,南,1室1厅1卫,4500
rent0082,低楼层/6层,有,昌平,回龙观,流星花园三区,102.00㎡,南 北,2室1厅1卫,7200
rent0083,中楼层/17层,有,朝阳,亚运村,名人公寓,219.00㎡,东南,3室2厅2卫,22000
rent0084,低楼层/6层,无,大兴,西红门,宏福园,110.00㎡,南 北,3室1厅1卫,5000
rent0085,低楼层/6层,,海淀,五棵松,永定路30号院,53.90㎡,南 北,2室1厅1卫,5800
rent0086,低楼层/10层,有,大兴,大兴新机场,中海云筑,90.00㎡,南 北,3室1厅1卫,3200
rent0087,低楼层/25层,有,大兴,枣园,波普公社,46.75㎡,北,1房间1卫,3200
rent0088,中楼层/6层,无,顺义,顺义城,石园北区,77.14㎡,南 北,2室1厅1卫,2800
rent0089,高楼层/22层,有,朝阳,酒仙桥,丽都壹号,166.00㎡,南,3室2厅2卫,20000
rent0090,高楼层/24层,有,西城,阜成门,物华大厦,226.46㎡,东,4室2厅2卫,31251
rent0091,中楼层/30层,有,通州,武夷花园,金融街武夷融御,88.00㎡,南 西 北,3室1厅1卫,8000
rent0092,高楼层/5层,有,大兴,大兴新机场,众美MIMO公馆,63.00㎡,北,1房间1卫,2380
rent0093,高楼层/9层,有,大兴,亦庄,金色漫香林六期,93.00㎡,南 北,3房间2卫,6000
rent0094,高楼层/6层,无,昌平,东关,建安里小区,104.97㎡,南 北,3室2厅1卫,5000
rent0095,低楼层/27层,有,朝阳,望京,望京新城,59.00㎡,东南,1室1厅1卫,7100
rent0096,高楼层/9层,有,顺义,顺义其它,中国铁建顺鑫汇,61.30㎡,西,4房间2卫,3100
rent0097,高楼层/5层,有,大兴,大兴新机场,众美MIMO公馆,52.00㎡,北,1房间1卫,2200
rent0098,高楼层/6层,有,通州,临河里,瑞都公园世家北区,225.00㎡,南 北,4室2厅2卫,10800
rent0099,中楼层/14层,有,西城,金融街,长安兴融中心,137.13㎡,南,3室1厅2卫,33000
rent0100,高楼层/6层,无,西城,木樨地,西便门东里,53.00㎡,南,2室1厅1卫,7600
rent0101,低楼层/35层,有,通州,武夷花园,京贸国际城,80.00㎡,东 南,2室1厅1卫,4300
rent0102,中楼层/6层,无,东城,广渠门,忠实里四巷,58.40㎡,南 北,2室1厅1卫,5900
rent0103,高楼层/6层,无,丰台,玉泉营,郑王坟141号院,56.00㎡,南 北,2室1厅1卫,5000
rent0104,高楼层/7层,无,丰台,刘家窑,同仁园,171.19㎡,南 北,5室2厅3卫,15000
rent0105,低楼层/5层,有,通州,九棵树(家乐福),龙湖蔚澜香醍,170.00㎡,南 北,5室2厅2卫,15000
rent0106,低楼层/21层,有,朝阳,华威桥,美景东方,152.25㎡,南 北,3室1厅2卫,15300
rent0107,低楼层/18层,有,西城,右安门内,清芷园,43.00㎡,北,1室1厅1卫,8000
rent0108,低楼层/3层,无,密云,果园街道,银河花园,163.00㎡,南 北,4室2厅3卫,8000
rent0109,低楼层/20层,有,东城,东直门,东直门内北小街2号院,666.62㎡,南 北,4室2厅3卫,85000
rent0110,低楼层/9层,有,海淀,上地,宜品上层,58.00㎡,南,1房间1卫,7000
rent0111,低楼层/15层,有,大兴,大兴新机场,御园C区,59.55㎡,南,1室1厅1卫,2100
rent0112,低楼层/21层,有,昌平,西三旗,新龙大厦,44.00㎡,东,1房间1卫,5000
rent0113,低楼层/6层,,海淀,五棵松,太平路44号院,133.00㎡,南 北,4室1厅2卫,13000
rent0114,低楼层/11层,有,东城,崇文门,国瑞城中区,228.36㎡,南 西 北,5室2厅4卫,36000
rent0115,中楼层/9层,有,石景山,杨庄,茂华景公馆,176.00㎡,东 南 北,3室2厅3卫,17000
rent0116,中楼层/5层,无,西城,西单,西黄城根45号院,62.00㎡,南 北,2室1厅1卫,13000
rent0117,中楼层/29层,有,朝阳,望京,悠乐汇,55.45㎡,东,1房间1卫,7200
rent0118,高楼层/6层,无,朝阳,芍药居,惠新东街14号院,60.00㎡,南 北,2室1厅1卫,7600
rent0119,低楼层/24层,有,丰台,马家堡,时代风帆大厦,151.00㎡,东南,3室1厅1卫,16000
rent0120,低楼层/6层,无,通州,北关,富河园,70.00㎡,南 北,2室1厅1卫,3600
rent0121,低楼层/24层,有,亦庄开发区,亦庄,林肯公园,204.02㎡,西南,5房间3卫,16000
rent0122,高楼层/33层,有,朝阳,CBD,阳光100,48.72㎡,北,1室1厅1卫,8500
rent0123,低楼层/24层,有,朝阳,朝阳门外,麒麟公馆,95.00㎡,南 北,2室1厅1卫,19000
rent0124,低楼层/6层,有,海淀,公主坟,翠微路甲10号院,56.91㎡,北,3房间1卫,11000
rent0125,低楼层/30层,有,丰台,科技园区,怡海花园富泽园,145.00㎡,东南,3室2厅2卫,12000
rent0126,高楼层/5层,无,朝阳,首都机场,首都机场南路西里,58.00㎡,南,2室1厅1卫,4200
rent0127,低楼层/6层,无,海淀,白石桥,大慧寺20号院,47.00㎡,南,1室1厅1卫,7200
rent0128,低楼层/26层,有,朝阳,望京,中广宜景湾,102.99㎡,西南,2室1厅1卫,11000
rent0129,中楼层/28层,有,门头沟,大峪,中门寺南坡小区,48.00㎡,南,1室1厅1卫,2700
rent0130,高楼层/21层,有,丰台,科技园区,广安康润家园东区,103.00㎡,南 北,3室1厅1卫,6200
rent0131,低楼层/24层,有,丰台,草桥,玺萌丽苑,84.00㎡,西北,2室1厅1卫,6800
rent0132,低楼层/24层,有,通州,武夷花园,金融街武夷融御,90.00㎡,南 北,3室1厅1卫,7800
rent0133,低楼层/12层,有,海淀,新街口,五月华庭,36.43㎡,南,1房间1卫,5800
rent0134,中楼层/9层,有,朝阳,四惠,壹线国际,72.00㎡,东 西,1室0厅1卫,6500
rent0135,高楼层/19层,有,海淀,牡丹园,藤花紫院,93.40㎡,南 西南,2室1厅1卫,12500
rent0136,中楼层/18层,有,昌平,天通苑,公园两栋,57.00㎡,南,4房间1卫,5500
rent0137,低楼层/6层,无,顺义,顺义城,滨河小区,60.00㎡,南 北,2室1厅1卫,2600
rent0138,高楼层/27层,有,朝阳,太阳宫,太阳公元北区,68.00㎡,南,1室1厅1卫,13000
rent0139,高楼层/6层,无,西城,六铺炕,人定湖西里,57.00㎡,南,2室1厅1卫,8200
rent0140,中楼层/22层,有,丰台,科技园区,广安康润家园东区,75.04㎡,南,2室1厅1卫,5000
rent0141,中楼层/19层,有,东城,广渠门,金桥国际,54.19㎡,西,1室1厅1卫,8200
rent0142,中楼层/6层,无,通州,玉桥,公路局家属楼,61.35㎡,南 北,2室1厅1卫,3700
rent0143,高楼层/26层,有,门头沟,滨河西区,熙旺中心,47.00㎡,西南,1房间1卫,3000
rent0144,中楼层/15层,有,大兴,枣园,首邑上城,113.65㎡,东南,1房间1卫,6500
rent0145,高楼层/6层,无,西城,六铺炕,小八道湾,53.00㎡,东 南,2室1厅1卫,11200
rent0146,中楼层/16层,有,大兴,枣园,首开康乃馨城,87.00㎡,南 北,2室1厅1卫,4000
rent0147,低楼层/24层,有,朝阳,奥林匹克公园,澳林春天五期,130.00㎡,东 南,3室2厅2卫,12500
rent0148,高楼层/20层,有,朝阳,立水桥,明天第一城7号院,76.58㎡,南,3房间1卫,7200
rent0149,高楼层/18层,有,通州,果园,苏荷时代,102.46㎡,南 北,3室1厅1卫,6500
rent0150,高楼层/28层,有,门头沟,大峪,黑山A5区,65.00㎡,南,2室1厅1卫,3000
rent0151,高楼层/5层,无,海淀,皂君庙,财大家属院,60.00㎡,南 北,3室1厅1卫,10000
rent0152,高楼层/24层,有,朝阳,亚运村,荣尊堡国际俱乐部公寓,141.00㎡,东,2室2厅2卫,17000
rent0153,低楼层/6层,无,大兴,旧宫,育龙家园,119.80㎡,南 北,3室1厅2卫,8500
rent0154,中楼层/5层,有,大兴,大兴新机场,众美MIMO公馆,51.56㎡,北,1房间1卫,1900
rent0155,中楼层/5层,无,昌平,北七家,八仙别墅仙霞西里,147.00㎡,南 西 北,3室2厅2卫,7000
rent0156,低楼层/4层,有,朝阳,中央别墅区,瑞悦府,317.00㎡,南 北,5室2厅3卫,24000
rent0157,高楼层/26层,有,朝阳,红庙,华贸公寓,130.00㎡,南 北,2室1厅2卫,19000
rent0158,高楼层/7层,有,通州,北关,朝北8080,47.00㎡,南,1房间1卫,3900
rent0159,高楼层/20层,有,大兴,枣园,波普公社,58.00㎡,北,2房间1卫,3800
rent0160,中楼层/11层,有,大兴,天宫院,保利春天派,37.00㎡,南,1房间1卫,2850
rent0161,高楼层/7层,有,大兴,大兴其它,北京城建北京密码,61.35㎡,北,4房间2卫,2300
rent0162,中楼层/9层,有,大兴,高米店,兴创D标,55.00㎡,南 北,3房间2卫,5500
rent0163,高楼层/4层,无,东城,和平里,交林,55.14㎡,东南,2室1厅1卫,7500
rent0164,低楼层/18层,有,东城,永定门,望陶园小区,89.00㎡,西,2室1厅1卫,6800
rent0165,中楼层/21层,有,海淀,苏州桥,长远天地,320.00㎡,西 北,1室1厅1卫,50000
rent0166,低楼层/6层,无,大兴,义和庄,联港嘉园D区,86.94㎡,南 北,2室1厅1卫,3500
rent0167,中楼层/24层,有,亦庄开发区,亦庄,力宝广场,64.00㎡,西,1房间1卫,6500
rent0168,高楼层/16层,有,大兴,亦庄开发区其它,金茂逸墅,150.00㎡,南 北,4室2厅2卫,16000
rent0169,低楼层/6层,有,通州,北关,8哩岛,350.00㎡,南 北,5室3厅3卫,17000
rent0170,低楼层/18层,有,海淀,西三旗,SOCO公社,62.71㎡,南,1房间1卫,8500
rent0171,高楼层/6层,无,大兴,黄村中,三合南里,82.76㎡,南 北,3室1厅1卫,3700
rent0172,中楼层/6层,有,顺义,李桥,馨港庄园二区,111.00㎡,南 北,2室2厅2卫,4200
rent0173,低楼层/5层,无,丰台,卢沟桥,卢沟桥北里,53.01㎡,南,3室1厅1卫,4000
rent0174,中楼层/26层,无,石景山,古城,中海寰宇天下熙山府,95.00㎡,南 北,3室2厅1卫,9000
rent0175,高楼层/5层,有,顺义,后沙峪,阿凯笛亚庄园,170.00㎡,南 北,2室2厅2卫,21000
rent0176,中楼层/14层,有,顺义,顺义其它,空港国际,50.42㎡,西,2房间1卫,3300
rent0177,中楼层/27层,有,朝阳,工体,光彩国际公寓,228.00㎡,南 北,3室1厅2卫,30000
rent0178,高楼层/6层,无,大兴,南中轴机场商务区,华远和墅,66.00㎡,南,1室1厅1卫,2400
rent0179,高楼层/6层,无,大兴,枣园,福苑小区,66.00㎡,南 北,2室1厅1卫,3100
rent0180,高楼层/17层,有,石景山,八角,融景城,134.63㎡,东南 北,3室2厅2卫,10000
rent0181,中楼层/5层,无,通州,武夷花园,BOBO自由城,103.00㎡,南 北,2室2厅2卫,5200
rent0182,中楼层/7层,有,朝阳,常营,柏林爱乐二期,128.00㎡,南 北,3室1厅2卫,11500
rent0183,低楼层/1层,无,东城,东四,东四四条,14.20㎡,南 北,1室1厅1卫,6800
rent0184,低楼层/3层,有,怀柔,怀柔,东亚华欣湾,570.42㎡,南 北,7室2厅4卫,15000
rent0185,中楼层/6层,,通州,临河里,群芳园,80.00㎡,南 北,3室1厅1卫,3900
rent0186,低楼层/28层,有,朝阳,望京,融科橄榄城一期,145.00㎡,南 北,3室2厅2卫,19000
rent0187,高楼层/4层,无,东城,永定门,琉璃井路,63.00㎡,南 北,2室1厅1卫,5300
rent0188,中楼层/16层,有,海淀,西直门,时代之光名苑,73.79㎡,西,2室1厅1卫,14000
rent0189,高楼层/20层,有,丰台,科技园区,广安康润家园东区,76.00㎡,南 北,2室1厅1卫,4800
rent0190,中楼层/15层,有,大兴,大兴新机场,御园B区,126.00㎡,南 北,3室1厅2卫,3400
rent0191,中楼层/6层,无,顺义,顺义城,裕龙西区,129.00㎡,南 北,3室2厅2卫,4800
rent0192,低楼层/18层,有,通州,北关,金地格林格林,75.00㎡,南,2室1厅1卫,4300
rent0193,中楼层/18层,有,朝阳,北苑,乐想汇,71.00㎡,南,1房间1卫,6500
rent0194,低楼层/15层,有,丰台,马连道,康宁居,60.00㎡,南,1室1厅1卫,5800
rent0195,高楼层/23层,有,朝阳,亚运村小营,凯旋城,197.00㎡,南 北,4室1厅2卫,19800
rent0196,高楼层/11层,有,朝阳,中央别墅区,瑞悦府,89.23㎡,南 北,3室1厅1卫,10600
rent0197,低楼层/6层,无,大兴,枣园,福苑小区,75.00㎡,南 北,2室1厅1卫,3600
rent0198,高楼层/25层,有,朝阳,国展,豪成大厦,118.00㎡,东,3室1厅0卫,12000
rent0199,高楼层/24层,有,朝阳,双井,怡馨园,301.43㎡,南 西 北,5室1厅3卫,30000
rent0200,中楼层/6层,无,海淀,牡丹园,牡丹园东里,40.00㎡,东,1室1厅1卫,6500
rent0201,低楼层/6层,无,海淀,小西天,北师大院内,79.50㎡,南 北,3室1厅1卫,16000
rent0202,低楼层/3层,有,朝阳,北苑,润泽庄园墅郡,401.71㎡,南 北,5室2厅6卫,45000
rent0203,中楼层/6层,无,通州,万达,潞河中学北街,60.00㎡,南 北,2室1厅1卫,3500
rent0204,高楼层/15层,有,大兴,大兴新机场,御园B区,125.00㎡,南 北,3室1厅2卫,3500
rent0205,中楼层/20层,有,朝阳,酒仙桥,丽都壹号,122.68㎡,南 北,3室2厅2卫,17000
rent0206,高楼层/8层,有,朝阳,中央别墅区,瑞悦府,90.00㎡,南 北,3室1厅1卫,9800
rent0207,中楼层/16层,有,朝阳,CBD,和乔丽致公寓,125.00㎡,南 西,3室1厅2卫,25000
rent0208,中楼层/4层,有,丰台,丰台其它,领秀翡翠山A区,230.00㎡,南 北,4室2厅2卫,14500
rent0209,低楼层/18层,有,朝阳,朝阳公园,泛海国际碧海园,179.00㎡,南 北,3室2厅2卫,25000
rent0210,低楼层/20层,有,通州,临河里,香溪家园,91.75㎡,南 北,2室1厅1卫,5200
rent0211,高楼层/11层,有,门头沟,城子,阁外山水,114.00㎡,南 北,3室1厅1卫,4600
rent0212,低楼层/18层,有,朝阳,管庄,京通苑,79.76㎡,东南,2室1厅1卫,5000
rent0213,高楼层/6层,无,大兴,西红门,同华园,98.97㎡,南 北,2室1厅1卫,4500
rent0214,高楼层/19层,有,海淀,西直门,交大嘉园,136.00㎡,东南,3室1厅2卫,20000
rent0215,高楼层/15层,有,房山,良乡,瑞雪春堂,116.47㎡,南 北,3室1厅2卫,3800
rent0216,中楼层/6层,有,丰台,方庄,时代芳群,202.00㎡,南 北,4室2厅3卫,24000
rent0217,高楼层/28层,有,大兴,天宫院,住总万科橙,93.28㎡,南 北,3室1厅1卫,5800
rent0218,高楼层/18层,有,通州,武夷花园,月季园,89.46㎡,南,2室1厅1卫,4500
rent0219,低楼层/18层,有,昌平,北七家,华润理想国,91.00㎡,南,3室1厅1卫,4900
rent0220,高楼层/14层,有,通州,武夷花园,百合湾,37.00㎡,西 北,3房间1卫,4000
rent0221,中楼层/20层,有,东城,和平里,盛德紫阙,139.49㎡,东 南,3室1厅1卫,22500
rent0222,中楼层/7层,无,海淀,西三旗,建材城东一里,60.81㎡,南 北,2室1厅1卫,5600
rent0223,中楼层/5层,无,通州,万达,新城东里,37.89㎡,南,1室1厅1卫,3200
rent0224,低楼层/1层,无,东城,交道口,安定门内大街,21.00㎡,东,1室0厅0卫,17000
rent0225,中楼层/18层,有,朝阳,建国门外,长安6号,63.15㎡,南,1室0厅1卫,7500
rent0226,中楼层/19层,有,朝阳,三元桥,时间国际中心,225.00㎡,东 西,1房间0卫,37640
rent0227,中楼层/16层,有,朝阳,大望路,金港国际,163.00㎡,南 北,3室2厅2卫,16000
rent0228,低楼层/6层,无,朝阳,北苑,黄金苑,83.46㎡,东 西,3室1厅1卫,8200
rent0229,高楼层/11层,有,大兴,大兴其它,i立方,65.00㎡,南,2房间1卫,2200
rent0230,中楼层/6层,无,门头沟,滨河西区,霁月园,109.00㎡,南 北,3室1厅1卫,5500
rent0231,高楼层/7层,无,顺义,李桥,樱花园一区,96.51㎡,南 北,2室2厅1卫,3300
rent0232,低楼层/26层,有,朝阳,CBD,建外SOHO,151.00㎡,东,1室0厅1卫,29260
rent0233,中楼层/4层,,海淀,西二旗,领秀新硅谷2号院,215.00㎡,南 北,5室2厅3卫,22000
rent0234,中楼层/7层,无,西城,马连道,太平里,64.00㎡,南,2室1厅1卫,6600
rent0235,中楼层/6层,无,东城,永定门,郭庄北里,75.00㎡,南 北,3室1厅1卫,7600
rent0236,低楼层/24层,有,朝阳,朝青,天鹅湾北区,176.43㎡,南 北,3室2厅2卫,18000
rent0237,高楼层/20层,有,海淀,甘家口,景王坟,60.00㎡,南,2室1厅1卫,9500
rent0238,中楼层/18层,有,石景山,鲁谷,六合园,87.17㎡,东南,2室1厅1卫,6500
rent0239,低楼层/6层,无,西城,六铺炕,塔院胡同12号院,40.40㎡,南,1室1厅1卫,6500
rent0240,低楼层/26层,有,石景山,鲁谷,远洋山水,139.00㎡,南 北,3室2厅2卫,12000
rent0241,高楼层/11层,有,东城,朝阳门内,朝阳首府,183.00㎡,南 北,3室1厅2卫,30000
rent0242,高楼层/15层,有,顺义,天竺,万通天竺新新家园,120.00㎡,南 北,3室2厅1卫,11500
rent0243,高楼层/12层,有,丰台,马家堡,名都家苑,91.00㎡,南,2室1厅1卫,8200
rent0244,低楼层/18层,有,朝阳,定福庄,金福家园,119.00㎡,东南,3室2厅2卫,8500
rent0245,高楼层/28层,有,朝阳,工体,光彩国际公寓,272.00㎡,东南,4室2厅2卫,40000
rent0246,高楼层/27层,有,石景山,鲁谷,远洋山水,117.18㎡,南,2室1厅1卫,8500
rent0247,高楼层/6层,无,顺义,马坡,马坡花园二区,110.00㎡,南 北,3室1厅2卫,3500
rent0248,中楼层/6层,无,石景山,鲁谷,玉泉路65号院,58.00㎡,南,2室1厅1卫,5800
rent0249,中楼层/6层,有,丰台,青塔,首开玲珑汇,61.00㎡,南,2房间1卫,4500
rent0250,低楼层/3层,无,昌平,回龙观,华远静林湾,238.00㎡,南 北,4室2厅3卫,18000
rent0251,高楼层/14层,有,朝阳,常营,首开东都汇,71.00㎡,东南,3房间1卫,7800
rent0252,高楼层/6层,无,朝阳,管庄,烟厂宿舍,54.00㎡,南 北,2室1厅1卫,5000
rent0253,中楼层/27层,有,朝阳,CBD,万达广场公寓,61.00㎡,北,1室1厅1卫,10300
rent0254,高楼层/15层,有,大兴,黄村中,阳光乐府,139.26㎡,南 北,3室2厅2卫,6300
rent0255,低楼层/17层,有,海淀,五棵松,永定路西里,112.30㎡,东南,3室1厅1卫,10500
rent0256,中楼层/6层,有,朝阳,CBD,金茂公寓,166.93㎡,南 北,3室1厅2卫,19000
rent0257,低楼层/9层,有,大兴,旧宫,朗润园一期,275.00㎡,南 北,6室2厅3卫,20000
rent0258,中楼层/5层,无,顺义,中央别墅区,水木兰亭,169.00㎡,南 北,3室2厅3卫,18000
rent0259,低楼层/18层,有,朝阳,常营,长楹天街,141.00㎡,南 北,3室2厅2卫,15000
rent0260,低楼层/7层,有,朝阳,北苑,山水蓝维,145.05㎡,南 西 北,3室2厅2卫,13000
rent0261,高楼层/6层,无,亦庄开发区,亦庄,天宝家园,60.00㎡,南,1室1厅1卫,4500
